seqnames	start	end	strand	gene
chr4	106816097	106816596	+	NPNT
chr4	107237424	107237923	-	TBCK
chr4	107957454	107957953	-	DKK2
chr4	108910370	108910869	+	HADH
chr4	109571241	109571740	+	OSTC
chr4	110223691	110224190	+	ZCCHC23
chr4	110354371	110354870	+	SEC24B
chr4	110480855	110481354	+	MCUB
chr4	110748650	110749149	+	RRH
chr4	110833540	110834039	+	EGF
chr4	111119772	111120271	-	ELOVL6
chr4	111396729	111397228	+	ENPEP
chr4	111544255	111544754	-	PITX2
chr4	113558152	113558651	-	ZGRF1
chr4	116035033	116035532	-	NDST4
chr4	118955000	118955499	+	NDST3
chr4	119757352	119757851	-	SEC24D
chr4	119809496	119809995	+	SYNPO2
chr4	120056439	120056938	+	MYOZ2
chr4	120133282	120133781	+	USP53
chr4	120549982	120550481	-	PDE5A
chr4	122302182	122302681	-	QRFPR
chr4	122872910	122873409	-	TRPC3
chr4	123091258	123091757	+	KIAA1109
chr4	123299621	123300120	+	ADAD1
chr4	123843725	123844224	+	SPATA5
chr4	126237067	126237566	+	FAT4
chr4	128553587	128554086	+	INTU
chr4	128702476	128702975	+	HSPA4L
chr4	128887140	128887639	-	MFSD8
chr4	128981921	128982420	+	LARP1B
chr4	129732499	129732998	+	JADE1
chr4	130014763	130015262	-	SCLT1
chr4	134069945	134070444	+	PCDH10
chr4	140098373	140098872	-	ELF2
chr4	140222176	140222675	+	NAA15
chr4	140374461	140374960	+	RAB33B
chr4	141075234	141075733	-	MAML3
chr4	141294164	141294663	+	SCOC
chr4	142054617	142055116	-	RNF150
chr4	144257483	144257982	+	GAB1
chr4	144434116	144434615	+	SMARCA5
chr4	144621829	144622328	-	FREM3
chr4	145566648	145567147	+	HHIP
chr4	146018535	146019034	-	ANAPC10
chr4	146403457	146403956	+	SMAD1
chr4	147443124	147443623	-	SLC10A7
chr4	149363673	149364172	-	NR3C2
chr4	150998926	150999425	+	DCLK2
chr4	151936650	151937149	-	LRBA
chr4	152329898	152330397	+	FAM160A1
chr4	153456186	153456685	-	FBXW7
chr4	153700589	153701088	+	ARFIP1
chr4	153863635	153864134	+	FHDC1
chr4	154265301	154265800	+	MND1
chr4	154386998	154387497	+	KIAA0922
chr4	154681388	154681887	-	RNF175
chr4	155701924	155702423	+	RBM46
chr4	156588315	156588814	+	GUCY1A3
chr4	156787426	156787925	-	ASIC5
chr4	157892547	157893046	-	PDGFC
chr4	157997055	157997554	+	GLRB
chr4	159442366	159442865	+	RXFP1
chr4	159726746	159727245	+	FNIP2
chr4	159956334	159956833	-	C4orf45
chr4	165797640	165798139	+	APELA
chr4	166130671	166131170	+	KLHL2
chr4	166299594	166300093	+	CPE
chr4	166793910	166794409	+	TLL1
chr4	169013188	169013687	+	ANXA10
chr4	169239959	169240458	-	DDX60
chr4	169401666	169402165	-	DDX60L
chr4	169417717	169418216	+	PALLD
chr4	170192250	170192749	-	SH3RF1
chr4	170533779	170534278	-	NEK1
chr4	170679094	170679593	-	HPF1
chr4	174089404	174089903	+	GALNT7
chr4	175204555	175205054	+	CEP44
chr4	175750467	175750966	-	GLRA3
chr4	175839009	175839508	+	ADAM29
chr4	176734266	176734765	-	GPM6A
chr4	176986485	176986984	+	WDR17
chr4	184019963	184020462	+	WWC2
chr4	184826009	184826508	+	STOX2
chr4	185139115	185139614	-	ENPP6
chr4	185395727	185396226	-	IRF2
chr4	186125183	186125682	-	CFAP97
chr4	186124891	186125390	+	SNX25
chr4	186392914	186393413	-	CCDC110
chr4	187148125	187148624	+	KLKB1
chr4	187644988	187645487	-	FAT1
chr4	52679	53178	+	ZNF595
chr4	299111	299610	-	ZNF732
chr4	331096	331595	+	ZNF141
chr4	492961	493460	-	ZNF721
chr4	668128	668627	-	ATP5I
chr4	671211	671710	+	MYL5
chr4	683231	683730	-	MFSD7
chr4	699030	699529	+	PCGF3
chr4	925675	926174	+	TMEM175
chr4	967349	967848	-	DGKQ
chr4	980285	980784	+	IDUA
chr4	987229	987728	-	SLC26A1
chr4	1005752	1006251	+	FGFRL1
chr4	1107353	1107852	-	RNF212
chr4	1166658	1167157	-	SPON2
chr4	1242909	1243408	-	CTBP1
chr4	1340844	1341343	+	UVSSA
chr4	1384840	1385339	+	CRIPAK
chr4	1400231	1400730	-	NKX1-1
chr4	1685719	1686218	-	FAM53A
chr4	1723085	1723584	-	TMEM129
chr4	1722717	1723216	+	TACC3
chr4	1794539	1795038	+	FGFR3
chr4	2010963	2011462	-	NELFA
chr4	2043220	2043719	+	C4orf48
chr4	2060739	2061238	+	NAT8L
chr4	2243892	2244391	-	HAUS3
chr4	2263740	2264239	-	MXD4
chr4	2420172	2420671	+	CFAP99
chr4	2626659	2627158	+	FAM193A
chr4	2819412	2819911	+	SH3BP2
chr4	2935965	2936464	-	MFSD10
chr4	2965234	2965733	-	NOP14
chr4	3250267	3250766	+	MSANTD1
chr4	3443160	3443659	+	HGFAC
chr4	3464533	3465032	+	DOK7
chr4	3534225	3534724	-	LRPAP1
chr4	3767796	3768295	+	ADRA2C
chr4	4249970	4250469	-	TMEM128
chr4	4291749	4292248	-	LYAR
chr4	4291424	4291923	+	ZBTB49
chr4	4388190	4388689	+	NSG1
chr4	4860892	4861391	+	MSX1
chr4	5021198	5021697	-	CYTL1
chr4	5894811	5895310	-	CRMP1
chr4	6576401	6576900	+	MAN2B2
chr4	6641318	6641817	+	MRFAP1
chr4	6695066	6695565	+	S100P
chr4	6711607	6712106	-	MRFAP1L1
chr4	6717342	6717841	+	BLOC1S4
chr4	7044729	7045228	-	CCDC96
chr4	7044656	7045155	+	TADA2B
chr4	7069938	7070437	-	GRPEL1
chr4	7436701	7437200	-	PSAPL1
chr4	7940228	7940727	+	LOC389199
chr4	8200471	8200970	+	SH3TC1
chr4	8270992	8271491	+	HTRA3
chr4	8442032	8442531	+	TRMT44
chr4	8581717	8582216	+	GPR78
chr4	8593887	8594386	+	CPZ
chr4	8873544	8874043	-	HMX1
chr4	9211883	9212382	+	USP17L10
chr4	9216631	9217130	+	USP17L11
chr4	9221378	9221877	+	USP17L12
chr4	9226122	9226621	+	USP17L13
chr4	9235611	9236110	+	USP17L15
chr4	9245105	9245604	+	USP17L17
chr4	9249856	9250355	+	USP17L18
chr4	9254604	9255103	+	USP17L19
chr4	9259350	9259849	+	USP17L20
chr4	9264098	9264597	+	USP17L21
chr4	9268845	9269344	+	USP17L22
chr4	9326391	9326890	+	USP17L24
chr4	9331137	9331636	+	USP17L25
chr4	9335884	9336383	+	USP17L26
chr4	9340629	9341128	+	USP17L5
chr4	9345374	9345873	+	USP17L27
chr4	9350119	9350618	+	USP17L28
chr4	9354864	9355363	+	USP17L29
chr4	9364355	9364854	+	USP17L30
chr4	9445760	9446259	+	DEFB131
chr4	9782758	9783257	+	DRD5
chr4	10459033	10459532	-	ZNF518B
chr4	13485990	13486489	-	RAB28
chr4	13546115	13546614	-	NKX3-2
chr4	13629329	13629828	-	BOD1L1
chr4	15003798	15004297	+	CPEB2
chr4	15341060	15341559	+	C1QTNF7
chr4	15657036	15657535	-	FBXL5
chr4	15682852	15683351	+	FAM200B
chr4	15779388	15779887	+	CD38
chr4	15940364	15940863	-	FGFBP1
chr4	15964860	15965359	-	FGFBP2
chr4	16228162	16228661	-	TAPT1
chr4	17513858	17514357	-	QDPR
chr4	17516288	17516787	+	CLRN2
chr4	17578427	17578926	+	LAP3
chr4	17615751	17616250	+	MED28
chr4	17812382	17812881	-	DCAF16
chr4	24586185	24586684	-	DHX15
chr4	24796585	24797084	+	SOD3
chr4	25032415	25032914	-	LGI2
chr4	25162205	25162704	-	SEPSECS
chr4	25235153	25235652	+	PI4K2B
chr4	25313896	25314395	+	ZCCHC4
chr4	25378348	25378847	+	ANAPC4
chr4	25656935	25657434	+	SLC34A2
chr4	25915314	25915813	+	SMIM20
chr4	26492043	26492542	-	CCKAR
chr4	37585355	37585854	+	C4orf19
chr4	37827782	37828281	+	PGM2
chr4	37961556	37962055	+	PTTG2
chr4	38784612	38785111	-	TLR10
chr4	38806413	38806912	-	TLR1
chr4	38858439	38858938	-	TLR6
chr4	39034042	39034541	-	TMEM156
chr4	39063352	39063851	+	KLHL5
chr4	39460569	39461068	-	RPL9
chr4	39460144	39460643	+	LIAS
chr4	39529219	39529718	-	UGDH
chr4	40336846	40337345	+	CHRNA9
chr4	41258398	41258897	+	UCHL1
chr4	41750988	41751487	-	PHOX2B
chr4	41983213	41983712	+	DCAF4L1
chr4	42154896	42155395	-	BEND4
chr4	42399356	42399855	+	SHISA3
chr4	44653659	44654158	-	YIPF7
chr4	44728652	44729151	-	GNPDA2
chr4	46126083	46126582	-	GABRG1
chr4	47465748	47466247	-	COMMD8
chr4	47916575	47917074	-	NFXL1
chr4	48018289	48018788	+	NIPAL1
chr4	48484860	48485359	+	SLC10A4
chr4	48491769	48492268	+	ZAR1
chr4	48832823	48833322	+	OCIAD1
chr4	52709245	52709744	+	DCUN1D4
chr4	52886478	52886977	-	LRRC66
chr4	52904486	52904985	-	SGCB
chr4	53617808	53618307	-	ERVMER34-1
chr4	53727995	53728494	+	RASL11B
chr4	54965748	54966247	+	GSX2
chr4	55094756	55095255	+	PDGFRA
chr4	56261580	56262079	+	TMEM165
chr4	56458380	56458879	-	PDCL2
chr4	57253675	57254174	-	AASDH
chr4	57301769	57302268	+	PAICS
chr4	57333262	57333761	+	SRP72
chr4	57370875	57371374	+	ARL9
chr4	57774579	57775078	+	REST
chr4	57843827	57844326	-	NOA1
chr4	57844306	57844805	+	POLR2B
chr4	68411257	68411756	-	CENPC
chr4	68423915	68424414	+	STAP1
chr4	68621805	68622304	-	GNRHR
chr4	68749717	68750216	-	TMPRSS11D
chr4	69111413	69111912	-	TMPRSS11B
chr4	69434246	69434745	-	UGT2B17
chr4	69536495	69536994	-	UGT2B15
chr4	69681211	69681710	+	UGT2B10
chr4	69817510	69818009	-	UGT2A3
chr4	69961692	69962191	+	UGT2B7
chr4	70080450	70080949	-	UGT2B11
chr4	70145717	70146216	+	UGT2B28
chr4	70361627	70362126	-	UGT2B4
chr4	70505361	70505860	-	UGT2A2
chr4	70626431	70626930	-	SULT1B1
chr4	70725871	70726370	-	SULT1E1
chr4	70796299	70796798	+	CSN1S1
chr4	70826730	70827229	-	CSN2
chr4	70861148	70861647	+	STATH
chr4	70893630	70894129	+	HTN3
chr4	70915632	70916131	+	HTN1
chr4	71019404	71019903	+	PRR27
chr4	71061744	71062243	+	ODAM
chr4	71091288	71091787	+	FDCSP
chr4	71107833	71108332	+	CSN3
chr4	71200171	71200670	+	CABS1
chr4	71225993	71226492	+	SMR3A
chr4	71248295	71248794	+	SMR3B
chr4	71263099	71263598	+	OPRPN
chr4	71337334	71337833	+	MUC7
chr4	71383789	71384288	+	AMTN
chr4	71457475	71457974	+	AMBN
chr4	71493961	71494460	+	ENAM
chr4	71532349	71532848	-	JCHAIN
chr4	71553696	71554195	+	UTP3
chr4	71587059	71587558	+	RUFY3
chr4	71858765	71859264	+	DCK
chr4	74269456	74269955	+	ALB
chr4	74346962	74347461	+	AFM
chr4	74605723	74606222	+	CXCL8
chr4	74701773	74702272	+	CXCL6
chr4	74718513	74719012	+	PF4V1
chr4	74734609	74735108	+	CXCL1
chr4	74847842	74848341	-	PF4
chr4	74853908	74854407	-	PPBP
chr4	74864447	74864946	-	CXCL5
chr4	74904491	74904990	-	CXCL3
chr4	74964998	74965497	-	CXCL2
chr4	75173687	75174186	+	EPGN
chr4	75310315	75310814	+	AREG
chr4	75719897	75720396	-	BTC
chr4	76439143	76439642	+	THAP6
chr4	76480758	76481257	+	C4orf26
chr4	76598344	76598843	-	G3BP2
chr4	76862167	76862666	-	NAAA
chr4	76912116	76912615	-	SDAD1
chr4	76928677	76929176	-	CXCL9
chr4	76944690	76945189	-	CXCL10
chr4	76957351	76957850	-	CXCL11
chr4	76995348	76995847	+	ART3
chr4	77069669	77070168	-	NUP54
chr4	77135053	77135552	-	SCARB2
chr4	77226679	77227178	+	STBD1
chr4	77328459	77328958	-	CCDC158
chr4	77819003	77819502	-	SOWAHB
chr4	77870367	77870866	+	SEPT11
chr4	78077857	78078356	+	CCNG2
chr4	78783305	78783804	+	MRPL1
chr4	79472242	79472741	+	ANXA3
chr4	79860583	79861082	-	PAQR3
chr4	80247172	80247671	-	NAA11
chr4	80329373	80329872	-	GK2
chr4	80994478	80994977	-	ANTXR2
chr4	81118157	81118656	+	PRDM8
chr4	81187242	81187741	+	FGF5
chr4	81951619	81952118	+	BMP3
chr4	82393083	82393582	-	RASGEF1B
chr4	83295150	83295649	-	HNRNPD
chr4	83351379	83351878	-	HNRNPDL
chr4	83483127	83483626	-	TMEM150C
chr4	83821303	83821802	+	THAP9
chr4	83955739	83956238	+	COPS4
chr4	84206068	84206567	-	COQ2
chr4	84256035	84256534	-	HPSE
chr4	84377037	84377536	-	HELQ
chr4	84376585	84377084	+	MRPS18C
chr4	84406291	84406790	-	FAM175A
chr4	84456970	84457469	+	GPAT3
chr4	85419388	85419887	-	NKX6-1
chr4	85503557	85504056	+	CDS1
chr4	87770417	87770916	-	SLC10A6
chr4	87813576	87814075	-	C4orf36
chr4	88141421	88141920	-	KLHL8
chr4	88244059	88244558	-	HSD17B13
chr4	88312456	88312955	-	HSD17B11
chr4	88343228	88343727	+	NUDT9
chr4	88450656	88451155	-	SPARCL1
chr4	88529181	88529680	+	DSPP
chr4	88570954	88571453	+	DMP1
chr4	88720202	88720701	+	IBSP
chr4	88755355	88755854	+	MEPE
chr4	88896302	88896801	+	SPP1
chr4	89080012	89080511	-	ABCG2
chr4	89205984	89206483	-	PPM1K
chr4	89299391	89299890	+	HERC6
chr4	89444953	89445452	-	PIGY
chr4	89444953	89445452	-	PYURF
chr4	89619387	89619886	-	NAP1L5
chr4	90033468	90033967	+	TIGD2
chr4	94749578	94750077	+	ATOH1
chr4	95264028	95264527	-	HPGDS
chr4	96760739	96761238	+	PDHA2
chr4	99851789	99852288	-	EIF4E
chr4	99916288	99916787	+	METAP1
chr4	100065450	100065949	-	ADH4
chr4	100212186	100212685	-	ADH1A
chr4	100242600	100243099	-	ADH1B
chr4	100356292	100356791	-	ADH7
chr4	100431661	100432160	+	C4orf17
chr4	100484826	100485325	-	TRMT10A
chr4	100737481	100737980	+	DAPP1
chr4	100815704	100816203	-	LAMTOR3
chr4	100867884	100868383	-	DNAJB14
chr4	100871513	100872012	-	H2AFZ
chr4	101111656	101112155	-	DDIT4L
chr4	103266349	103266848	-	SLC39A8
chr4	103421986	103422485	+	NFKB1
chr4	103790051	103790550	-	UBE2D3
chr4	103997931	103998430	-	SLC9B2
chr4	104021025	104021524	-	BDH2
chr4	105416059	105416558	-	CXXC4
chr4	106629882	106630381	-	INTS12
chr4	107237164	107237663	+	AIMP1
chr4	107288593	107289092	-	GIMD1
chr4	108641420	108641919	-	PAPSS1
chr4	108813920	108814419	+	SGMS2
chr4	108852217	108852716	+	CYP2U1
chr4	109541285	109541784	+	RPL34
chr4	109684236	109684735	-	ETNPPL
chr4	110624630	110625129	-	CASP6
chr4	110651243	110651742	-	PLA2G12A
chr4	110723382	110723881	-	CFI
chr4	110736166	110736665	+	GAR1
chr4	110768840	110769339	+	LRIT3
chr4	113066053	113066552	+	C4orf32
chr4	113152395	113152894	+	AP1AR
chr4	113207060	113207559	-	TIFA
chr4	113437329	113437828	-	NEUROG2
chr4	113557620	113558119	+	LARP7
chr4	114900879	114901378	-	ARSJ
chr4	115543023	115543522	+	UGT8
chr4	118006737	118007236	-	TRAM1L1
chr4	119273923	119274422	-	PRSS12
chr4	119606025	119606524	+	METTL14
chr4	120225601	120226100	-	C4orf3
chr4	120243317	120243816	-	FABP2
chr4	120988014	120988513	-	MAD2L1
chr4	121993674	121994173	-	NDNF
chr4	122148622	122149121	-	TNIP3
chr4	122618148	122618647	-	ANXA5
chr4	122721972	122722471	+	EXOSC9
chr4	122745157	122745656	-	CCNA2
chr4	122791653	122792152	-	BBS7
chr4	123377651	123378150	-	IL2
chr4	123542213	123542712	-	IL21
chr4	123653357	123653856	+	BBS12
chr4	123747363	123747862	+	FGF2
chr4	123843762	123844261	-	NUDT6
chr4	124320145	124320644	+	SPRY1
chr4	125633888	125634387	-	ANKRD50
chr4	128651033	128651532	+	SLC25A31
chr4	128801516	128802015	+	PLK4
chr4	128885911	128886410	+	ABHD18
chr4	129209985	129210484	-	PGRMC2
chr4	135122904	135123403	-	PABPC4L
chr4	138453653	138454152	-	PCDH18
chr4	139163504	139164003	-	SLC7A11
chr4	139936413	139936912	+	NOCT
chr4	140201493	140201992	-	MGARP
chr4	140222365	140222864	-	NDUFC1
chr4	140477924	140478423	-	SETD7
chr4	140586422	140586921	+	MGST2
chr4	141348816	141349315	-	CLGN
chr4	141419532	141420031	-	MGAT4D
chr4	141444812	141445311	+	ELMOD2
chr4	141489960	141490459	-	UCP1
chr4	142141541	142142040	+	ZNF330
chr4	144105570	144106069	+	USP38
chr4	144826717	144827216	-	GYPE
chr4	144940499	144940998	-	GYPB
chr4	145061940	145062439	-	GYPA
chr4	146018656	146019155	+	ABCE1
chr4	146100833	146101332	-	OTUD4
chr4	146540040	146540539	+	MMAA
chr4	146600856	146601355	+	C4orf51
chr4	147096335	147096834	+	LSM6
chr4	147559545	147560044	+	POU4F2
chr4	148401569	148402068	+	EDNRA
chr4	148538039	148538538	+	TMEM184C
chr4	148605382	148605881	-	PRMT9
chr4	151502577	151503076	+	MAB21L2
chr4	152020225	152020724	+	RPS3A
chr4	152197825	152198324	+	PRSS48
chr4	152682176	152682675	-	GATB
chr4	153601318	153601817	-	TMEM154
chr4	153700917	153701416	-	TIGD4
chr4	154604904	154605403	+	TLR2
chr4	154710229	154710728	-	SFRP2
chr4	155471586	155472085	-	PLRG1
chr4	155483632	155484131	+	FGB
chr4	155511919	155512418	-	FGA
chr4	155533903	155534402	-	FGG
chr4	155664623	155665122	+	LRAT
chr4	156129281	156129780	+	NPY2R
chr4	156298123	156298622	-	MAP9
chr4	156679625	156680124	+	GUCY1B3
chr4	156824345	156824844	+	TDO2
chr4	156875049	156875548	-	CTSO
chr4	159094203	159094702	-	FAM198B
chr4	159130901	159131400	+	TMEM144
chr4	159593203	159593702	-	C4orf46
chr4	159592753	159593252	+	ETFDH
chr4	159644553	159645052	-	PPID
chr4	160188498	160188997	+	RAPGEF2
chr4	164088074	164088573	-	NAF1
chr4	164253948	164254447	-	NPY1R
chr4	164264754	164265253	+	NPY5R
chr4	164395048	164395547	-	TKTL2
chr4	164415173	164415672	+	TMA16
chr4	165118864	165119363	-	ANP32C
chr4	165898819	165899318	-	TRIM61
chr4	165877600	165878099	+	FAM218A
chr4	165952651	165953150	+	TRIM60
chr4	166034025	166034524	-	TMEM192
chr4	166248318	166248817	+	MSMO1
chr4	169931469	169931968	-	CBR4
chr4	170541172	170541671	+	CLCN3
chr4	171011373	171011872	-	AADAT
chr4	174254921	174255420	-	HMGB2
chr4	174291593	174292092	+	SAP30
chr4	174320398	174320897	-	SCRG1
chr4	174451379	174451878	-	HAND2
chr4	175205403	175205902	-	FBXO8
chr4	175444050	175444549	-	HPGD
chr4	177116823	177117322	-	SPATA4
chr4	177190374	177190873	-	ASB5
chr4	177240590	177241089	+	SPCS3
chr4	177713900	177714399	-	VEGFC
chr4	178363658	178364157	-	AGA
chr4	183838631	183839130	-	DCTD
chr4	184241928	184242427	-	CLDN22
chr4	184243580	184244079	-	CLDN24
chr4	184365244	184365743	+	CDKN2AIP
chr4	184425703	184426202	+	ING2
chr4	184580373	184580872	-	RWDD4
chr4	184579920	184580419	+	TRAPPC11
chr4	185570630	185571129	-	CASP3
chr4	185655287	185655786	-	CENPU
chr4	185939495	185939994	+	HELT
chr4	186063917	186064416	+	SLC25A4
chr4	186300153	186300652	-	LRP2BP
chr4	186317340	186317839	+	ANKRD37
chr4	186347140	186347639	-	UFSP2
chr4	186349988	186350487	+	C4orf47
chr4	186456713	186457212	-	PDLIM3
chr4	186989809	186990308	+	TLR3
chr4	187069827	187070326	+	FAM149A
chr4	187112174	187112673	+	CYP4V2
chr4	187186618	187187117	+	F11
chr4	187476722	187477221	-	MTNR1A
chr4	188916425	188916924	+	ZFP42
chr4	189026742	189027241	-	TRIML2
chr4	189060095	189060594	+	TRIML1
chr4	190861474	190861973	+	FRG1
chr4	190948413	190948912	-	FRG2
chr5	134208960	134209459	+	TXNDC15
chr5	16936386	16936885	-	MYO10
chr5	33892298	33892797	-	ADAMTS12
chr5	59189622	59190121	-	PDE4D
chr5	75378739	75379238	+	SV2C
chr5	109024567	109025066	+	MAN2A1
chr5	125695288	125695787	+	GRAMD3
chr5	142149792	142150291	+	ARHGAP26
chr5	159343240	159343739	+	ADRA1B
chr5	167718565	167719064	+	WWC1
chr5	5139943	5140442	+	ADAMTS16
chr5	9546234	9546733	-	SEMA5A
chr5	11904156	11904655	-	CTNND2
chr5	14664254	14664753	+	OTULIN
chr5	15499805	15500304	+	FBXL7
chr5	19988354	19988853	-	CDH18
chr5	22212879	22213378	-	CDH12
chr5	31532283	31532782	-	DROSHA
chr5	35617489	35617988	+	SPEF2
chr5	37378862	37379361	+	WDR70
chr5	53606404	53606903	-	ARL15
chr5	60627600	60628099	+	ZSWIM6
chr5	61714211	61714710	+	IPO11
chr5	65017942	65018441	-	SGTB
chr5	65891676	65892175	+	MAST4
chr5	72251308	72251807	+	FCHO2
chr5	74532704	74533203	-	ANKRD31
chr5	76506206	76506705	+	PDE8B
chr5	81047073	81047572	-	SSBP2
chr5	82766993	82767492	+	VCAN
chr5	88199923	88200422	-	MEF2C
chr5	89854117	89854616	+	ADGRV1
chr5	93447405	93447904	-	FAM172A
chr5	94620280	94620779	-	MCTP1
chr5	96478521	96479020	-	LIX1
chr5	101834721	101835220	-	SLCO6A1
chr5	107006597	107007096	-	EFNA5
chr5	110074173	110074672	+	SLC25A46
chr5	111312629	111313128	-	NREP
chr5	112196385	112196884	+	SRP19
chr5	115297651	115298150	+	LVRN
chr5	118406282	118406781	+	DMXL1
chr5	122759287	122759786	-	CEP120
chr5	126852801	126853300	+	PRRC1
chr5	128795458	128795957	+	ADAMTS19
chr5	131132757	131133256	-	FNIP1
chr5	135265506	135266005	+	FBXL21
chr5	136835019	136835518	-	SPOCK1
chr5	137368803	137369302	-	FAM13B
chr5	138534066	138534565	-	SIL1
chr5	143549937	143550436	+	KCTD16
chr5	146889620	146890119	-	DPYSL3
chr5	148931116	148931615	-	CSNK1A1
chr5	154091962	154092461	+	LARP1
chr5	158526771	158527270	-	EBF1
chr5	166711343	166711842	+	TENM2
chr5	175084540	175085039	+	HRH2
chr5	179334857	179335356	-	TBC1D9B
chr5	180325577	180326076	+	BTNL8
chr5	303791	304290	+	AHRR
chr5	524550	525049	-	SLC9A3
chr5	892469	892968	+	TRIP13
chr5	1445544	1446043	-	SLC6A3
chr5	2751745	2752244	+	C5orf38
chr5	7395843	7396342	+	ADCY2
chr5	7869151	7869650	-	FASTKD3
chr5	10353251	10353750	+	MARCH6
chr5	10563935	10564434	+	ANKRD33B
chr5	10761388	10761887	-	DAP
chr5	13944590	13945089	-	DNAH5
chr5	14143311	14143810	+	TRIO
chr5	14871888	14872387	-	ANKH
chr5	16179898	16180397	-	MARCH11
chr5	16617168	16617667	-	FAM134B
chr5	24645088	24645587	-	CDH10
chr5	27038690	27039189	-	CDH9
chr5	31193262	31193761	+	CDH6
chr5	31639017	31639516	+	PDZD2
chr5	32313115	32313614	-	MTMR12
chr5	32444868	32445367	-	ZFR
chr5	32710938	32711437	+	NPR3
chr5	33984781	33985280	-	SLC45A2
chr5	34684112	34684611	+	RAI14
chr5	34839229	34839728	+	TTC23L
chr5	35230692	35231191	-	PRLR
chr5	35938738	35939237	-	CAPSL
chr5	36067024	36067523	-	UGT3A2
chr5	36151645	36152144	+	SKP2
chr5	36876361	36876860	+	NIPBL
chr5	37249531	37250030	-	C5orf42
chr5	37371229	37371728	-	NUP155
chr5	38258011	38258510	+	EGFLAM
chr5	38556749	38557248	-	LIFR
chr5	38845460	38845959	+	OSMR
chr5	39074511	39075010	-	RICTOR
chr5	39270760	39271259	-	FYB
chr5	39364663	39365162	-	C9
chr5	40798298	40798797	-	PRKAA1
chr5	41071445	41071944	-	MROH2B
chr5	41213696	41214195	-	C6
chr5	41510731	41511230	-	PLCXD3
chr5	41870792	41871291	-	OXCT1
chr5	42424054	42424553	+	GHR
chr5	43121198	43121697	+	ZNF131
chr5	43191670	43192169	+	NIM1K
chr5	43412494	43412993	-	CCL28
chr5	43602729	43603228	+	NNT
chr5	45696221	45696720	-	HCN1
chr5	49962272	49962771	+	PARP8
chr5	52083636	52084135	+	ITGA1
chr5	52284656	52285155	+	ITGA2
chr5	52855963	52856462	+	NDUFS4
chr5	54603076	54603575	+	SKIV2L2
chr5	54830907	54831406	-	PLPP1
chr5	55033345	55033844	+	DDX4
chr5	55146707	55147206	+	IL31RA
chr5	55529187	55529686	-	ANKRD55
chr5	55902060	55902559	-	C5orf67
chr5	56247958	56248457	-	MIER3
chr5	56469275	56469774	+	GPBP1
chr5	57878371	57878870	+	RAB3C
chr5	59995994	59996493	-	DEPDC1B
chr5	60240456	60240955	+	NDUFAF2
chr5	60933108	60933607	+	C5orf64
chr5	61601489	61601988	+	KIF2A
chr5	63461170	63461669	+	RNF180
chr5	63801274	63801773	+	RGS7BP
chr5	64064245	64064744	+	CWC27
chr5	64777748	64778247	-	ADAMTS6
chr5	64858563	64859062	+	PPWD1
chr5	65221882	65222381	+	ERBIN
chr5	68389276	68389775	+	SLC30A5
chr5	68530122	68530621	+	CDK7
chr5	68666781	68667280	+	RAD17
chr5	68788090	68788589	+	OCLN
chr5	69320578	69321077	+	SERF1B
chr5	70750942	70751441	+	BDP1
chr5	70882615	70883114	+	MCCC2
chr5	71402595	71403094	+	MAP1B
chr5	71616085	71616584	-	MRPS27
chr5	72861066	72861565	+	UTP15
chr5	72921483	72921982	+	ARHGEF28
chr5	73937250	73937749	-	ENC1
chr5	74063197	74063696	-	GFM2
chr5	74807807	74808306	-	COL4A3BP
chr5	74807075	74807574	+	POLK
chr5	75013314	75013813	-	POC5
chr5	75698580	75699079	+	IQGAP2
chr5	76011368	76011867	+	F2R
chr5	76145326	76145825	+	S100Z
chr5	77072186	77072685	-	TBCA
chr5	77590580	77591079	-	AP3B1
chr5	77655827	77656326	+	SCAMP1
chr5	77944649	77945148	-	LHFPL2
chr5	78282358	78282857	-	ARSB
chr5	78365047	78365546	+	BHMT2
chr5	78809660	78810159	-	HOMER1
chr5	78985159	78985658	+	CMYA5
chr5	79783300	79783799	+	FAM151B
chr5	79949967	79950466	+	MSH3
chr5	80256008	80256507	+	RASGRF2
chr5	81267344	81267843	+	ATG10
chr5	82372728	82373227	+	XRCC4
chr5	83016897	83017396	-	HAPLN1
chr5	83680686	83681185	-	EDIL3
chr5	86563570	86564069	+	RASA1
chr5	87564697	87565196	-	TMEM161B
chr5	89770181	89770680	+	POLR3G
chr5	92918543	92919042	+	NR2F1
chr5	93954310	93954809	-	KIAA0825
chr5	93953891	93954390	+	SLF1
chr5	94726548	94727047	+	FAM81B
chr5	94890325	94890824	+	ARSK
chr5	95158578	95159077	-	GLRX
chr5	95297776	95298275	-	ELL2
chr5	95997361	95997860	+	CAST
chr5	96270846	96271345	+	LNPEP
chr5	99870509	99871008	+	FAM174A
chr5	101632254	101632753	-	SLCO4C1
chr5	102089987	102090486	+	PAM
chr5	102455452	102455951	+	PPIP5K2
chr5	102898503	102899002	-	NUDT12
chr5	107717800	107718299	-	FBXL17
chr5	108083023	108083522	+	FER
chr5	110062451	110062950	-	TMEM232
chr5	110559435	110559934	+	CAMK4
chr5	111755014	111755513	-	EPB41L4A
chr5	112311907	112312406	+	DCP2
chr5	112824528	112825027	-	MCC
